N,P,K,temperature,humidity,ph,rainfall,label
9,51,19,27.04453473,49.32609633,5.49091063,48.25207759,mothbeans
25,57,19,17.15432954,19.87070659,5.566522896,87.99669731,kidneybeans
82,78,46,25.05802193,84.97323747,5.738678895,110.4408803,banana
19,51,25,26.80474415,48.23991436,3.5253661,43.87801983,mothbeans
36,144,196,23.65167552,94.50528753,6.496934492,115.3611268,apple
4,47,20,25.97948991,64.95585424,4.193189124,72.19245835,mothbeans
104,23,47,26.98212846,86.70068316,6.770434148,42.91292205,watermelon
29,17,29,29.20394909,95.66997327,5.959493188,211.2506267,coconut
39,71,84,20.28155898,16.39535215,8.140825437,82.52339655,chickpea
7,73,25,27.52185591,63.13215259,7.28805662,45.20841071,lentil
33,59,22,22.64236876,21.59396123,5.946999529,122.3886015,kidneybeans
22,42,22,25.54249137,56.96640758,7.887658711,48.46797044,mothbeans
19,120,195,18.73932187,81.12109244,5.931538447,73.55807954,grapes
31,136,197,31.11047251,83.34010951,5.653776057999999,71.43001582,grapes
6,8,11,24.35590861,92.39651663,6.600948787999999,119.6946577,orange
99,54,37,21.14347496,80.33502926,5.5948196260000005,198.6730942,rice
25,62,21,26.73433965,68.13999721,7.040056094,67.15096376,blackgram
86,76,54,29.3159075,80.11585705,5.926824754,90.10978128,banana
133,47,24,24.40228894,79.19732001,7.231324765,90.8022356,cotton
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,maize
0,65,24,28.49584395,62.44616219,7.841496029,53.14531023,lentil
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice
0,26,31,25.0707247,95.02156793,5.547933273,192.9036306,coconut
29,41,21,31.49398069,62.84916863,8.86979671,64.56807592,mothbeans
107,36,21,25.29250148,75.66653335,6.205263534,62.64174227,cotton
105,18,35,23.52648086,68.44030686,6.743417121,171.8839938,coffee
68,52,49,24.42561272,92.27749066,6.577192175,63.35298768,papaya
82,29,35,26.67377159,52.24226285,6.246872394,156.15438980000005,coffee
10,59,22,28.60901145,86.99495766,7.1556850160000005,36.94616965,mungbean
34,60,25,29.78416743,85.16906976,6.79385576,40.77872823,mungbean
13,8,12,25.16296632,92.54736032,7.105904818,114.3117197,orange
32,13,42,23.50128217,92.97527546,5.786058032000001,106.61905,pomegranate
33,75,84,19.46210401,18.72831993,7.217018459,68.81405149,chickpea
7,63,24,19.55750776,64.45268309,6.818681086000002,53.04669416,lentil
88,38,15,25.08239719,65.92195844,6.455116637000001,62.49190812,maize
15,27,28,33.80398664,46.12866113,4.507523551,90.82549241,mango
0,12,7,20.18432263,90.65458473,6.969249676,116.8130969,orange
97,29,27,27.74576987,54.36976075,7.205078785,139.8619431,coffee
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,rice
50,60,47,32.57720726,92.74889453,6.92791761,93.7942847,papaya
44,60,55,34.2804607,90.55561637,6.825371185,98.54047745,papaya
38,24,33,28.28905147,97.00396405,5.973853124,142.9403233,coconut
95,52,36,26.22916897,83.83625819,5.543360237999999,286.5083725,rice
126,37,21,25.84997269,84.16855231,6.61448588,77.03421249,cotton
32,43,22,31.99928579,54.1077461,5.270749441,71.6266696,mothbeans
37,18,30,27.63551259,99.34854917,6.38488418,157.91715369999997,coconut
76,47,42,20.08369642,83.29114712,5.739175027000001,263.6372176,rice
9,122,201,29.58748357,80.91934392,5.570290539,68.06417307,grapes
36,140,198,23.34386401,91.47684705,6.28188384,104.4267991,apple
83,94,47,27.39872329,81.10523402,6.469370954,112.1355384,banana
11,6,25,28.69164799,96.65248672,6.081568052000001,178.9635457,coconut
100,80,52,27.53911354,77.25629897,6.049801781,110.3262123,banana
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize
30,17,31,31.20478173,54.49960506,6.804437106,94.62954663,mango
40,64,47,32.50037548,93.47888842,6.893509446,71.73759526,papaya
56,57,48,31.56213762,93.0484859,6.506120752,63.62250788,papaya
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice
70,50,53,37.4620912,90.44967809,6.933809742999999,172.3458448,papaya
89,9,47,29.47156259,90.77069618,6.6683827660000015,28.75226067,muskmelon
122,48,16,24.65425757,75.6350708,6.307585854,61.82980133,cotton
3,63,16,24.38041875,61.18458224,6.868881707999999,53.13946695,lentil
21,63,17,15.77370214,19.2303162,5.979973965,108.3441414,kidneybeans
44,58,18,28.03644051,65.06601664,6.814410927999999,72.49507741,blackgram
119,30,28,26.35770906,64.57578034,6.5052036960000015,163.62694960000005,coffee
91,41,37,24.48556447,83.20630007,6.132570522999999,192.2316221,jute
37,6,13,26.03097313,91.50819306,7.511755067999999,101.2847738,orange
23,7,34,26.1055118,91.52421214,5.852038202,134.1279669,coconut
100,76,45,25.56703012,75.94067692,5.590236025,102.7867717,banana
55,66,22,30.91219459,68.79427388,7.747775262999999,66.63830637,blackgram
3,141,197,21.98141856,91.12719303,6.142803397000001,115.4789148,apple
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize
38,19,31,34.73823882,49.08864345,5.855119267999999,90.65022183,mango
27,62,77,18.19737048,14.71070537,6.576415562,70.18185181,chickpea
32,20,35,26.52166434,98.38227669,5.588655387,144.6261698,coconut
83,7,45,29.08417927,90.73891887,6.704104127000001,25.33014238,muskmelon
98,18,27,27.56088634,68.49299897,6.516312148,167.43580749999995,coffee
39,17,45,18.09691127,90.42177379,6.9244907310000015,104.88188999999998,pomegranate
34,11,10,31.75048899,94.59551226,7.36220835,115.1989301,orange
20,122,204,11.7976469,80.86325389,6.487369687,65.06962486,grapes
54,67,52,35.67667332,93.30641944,6.586107335,141.3381168,papaya
40,58,75,18.59190771,14.77959596,7.168096055,89.60982451,chickpea
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice
82,25,51,24.31334971,87.47409052,6.074209622000001,48.11248366,watermelon
4,6,7,23.01014302,91.11764246,6.708889665,112.6738296,orange
7,63,24,22.95458237,24.03553105,5.858617867,107.7315386,kidneybeans
13,23,6,23.96147583,90.26408017,7.365338111,102.6958703,orange
31,5,14,17.66545409,91.69865887,6.583411671,110.6857506,orange
4,61,21,24.84063998,60.09116626,6.75020529,48.77790371,lentil
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize
23,24,32,28.1218093,46.16888595,5.630619901,93.30247448,mango
10,55,23,21.18853178,19.63438599,5.728233081,137.1948633,kidneybeans
40,18,43,19.38603815,86.79058496,5.767372539,109.91309840000002,pomegranate
27,22,29,28.83214859,92.17170353,6.000248647,145.41723869999996,coconut
21,39,20,27.06179658,52.3003173,7.388007482999999,60.74583498,mothbeans
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,maize
29,71,18,22.17499963,62.13873825,6.410441476,53.46622584,lentil
25,59,19,29.06631494,83.6869203,6.626629798,43.95183726,mungbean
58,55,47,26.05375792,93.69111672,6.7424900270000006,240.6863901,papaya
3,67,24,17.00067625,19.90790546,5.520880013999999,103.2926407,kidneybeans
36,11,13,17.34083741,93.04897191,7.1917274,112.7194284,orange
20,68,23,25.54960633,63.95425534,7.707332484,63.1830529,blackgram
109,29,28,23.26316991,60.51600210000001,6.724688502999999,194.1755471,coffee
33,37,19,27.92678579,86.5543196,7.183189922,43.4826194,mungbean
90,23,54,28.55852465,90.45773041,6.159020864,27.26588346,muskmelon
18,12,35,26.13958446,96.38580769,6.338720873,131.3387935,coconut
38,135,203,41.36106301,82.79782954,6.444373116,69.92107482,grapes
10,9,28,29.01256899,94.01014388,6.282955072999999,150.05003119999995,coconut
20,27,41,20.51343484,92.51675903,5.700088663,110.5764023,pomegranate
13,67,18,30.5753044,34.75591197,5.384762927000001,177.5764304,pigeonpeas
40,49,47,42.93368602,91.1756748,6.501521192,246.36132680000003,papaya
16,65,19,27.61204997,69.29786244,7.043160241,42.72374404,lentil
43,64,47,38.58954491,91.58076549,6.8256647820000005,102.2708231,papaya
90,86,52,25.85036988,81.95580471,5.793260262,119.08561709999998,banana
34,71,79,17.927806,15.85622899,7.728998197,74.63872762,chickpea
31,35,23,30.30260453,47.18283631,7.707595055,68.04039813,mothbeans
50,47,48,24.63676897,90.61964344,6.712772332999999,218.2299187,papaya
33,14,8,21.03200078,92.9641969,7.684420446,110.6823944,orange
26,56,22,23.05276444,60.424786,7.011121216,52.60285259,lentil
23,30,44,20.93892916,85.42912869,6.12476108,103.0295938,pomegranate
55,60,15,32.79766751,68.77994074,7.163043872,64.11411069,blackgram
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice
9,11,8,24.85903405,94.39000473,6.559236744,111.78037340000002,orange
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice
36,67,77,18.36952567,19.56381041,7.152811172000001,79.26357665,chickpea
35,58,20,29.38538562,63.47742011,5.761702519,90.05422663,pigeonpeas
36,61,21,34.53823889,39.04468913,5.617008201,168.5948318,pigeonpeas
107,21,26,26.45288458,55.32222678,7.235070264,144.68613359999995,coffee
31,70,77,20.88818675,14.32313811,6.492546046,90.46228334,chickpea
32,129,201,16.36251869,83.00471609,6.48754639,71.55665483,grapes
8,15,33,28.97318719,98.09861043,5.50158009,213.9011021,coconut
27,73,79,19.16288268,15.83500655,7.354973451,82.69766829,chickpea
40,140,195,14.97846952,80.49979873,6.2943956760000015,71.63437433,grapes
109,23,25,25.11711046,68.48030408,7.00733163,194.8773479,coffee
10,5,42,20.24104904,91.08706822,6.887005997,109.2537734,pomegranate
40,27,45,21.66024980000001,94.79397419,5.885638185,112.4349689,pomegranate
86,79,45,27.81251452,82.69285419,5.80766417,99.20961514,banana
52,56,85,20.118744600000007,14.44228303,6.81712422,88.68168643,chickpea
52,71,16,27.74274761,68.53997144,7.0758864720000005,71.78615328,blackgram
29,72,24,23.17409556,36.67847052,6.962386495,162.5931264,pigeonpeas
37,57,20,31.1006247,44.82069159,7.354286985,70.79934452,mothbeans
25,143,200,23.80436344,92.80441624,6.024248787,100.6192543,apple
18,9,40,19.44623085,89.02127045,5.627186257000001,106.1606833,pomegranate
34,140,198,21.70416965,93.44006288,5.751707342,115.1781396,apple
25,65,21,33.86351172,68.59232289,6.880245789,69.24464096,blackgram
15,133,199,23.99686172,91.61001707,5.8247786360000005,117.6102915,apple
91,7,52,25.07803672,83.46230461,6.405054243,56.39962921,watermelon
14,59,15,21.35135729,22.91244883,5.779090476,146.4548645,kidneybeans
33,14,35,27.14865285,96.66355213,6.027707171,149.2433497,coconut
116,81,55,26.42313317,83.69950440000002,5.915546415,95.12322062,banana
13,72,21,24.32116642,21.0278674,5.821194486,60.27552528,kidneybeans
30,137,200,22.91430043,90.70475565,5.603413172000001,118.6044645,apple
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize
37,49,25,29.914544300000006,85.85384444,6.415459592,41.39081525,mungbean
35,38,19,25.32688786,63.18180319,9.112771682,32.71129281,mothbeans
26,18,42,19.72620525,89.64934166,6.910374919,108.22872759999998,pomegranate
42,53,48,23.11407669,94.31994776,6.758479569,231.5153161,papaya
37,10,32,28.96318258,95.16333673,6.165084855,222.803013,coconut
0,19,33,27.1326009,95.23797989,6.234458417000001,204.7206567,coconut
101,31,26,26.70897548,69.71184111,6.861235184,158.86088869999998,coffee
91,50,40,20.82477109,84.1341879,6.462391607000001,230.22422230000004,rice
7,144,197,23.8494014,94.34814995,6.133220586,114.0512495,apple
32,14,37,22.73031253,88.48567856,6.825256236,104.6843243,pomegranate
50,59,47,40.76998685,92.09278584,6.747975732,209.8678411,papaya
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,maize
17,58,25,31.12896766,43.58788762,6.455592696,32.76742894,mothbeans
12,29,40,19.68291173,89.75272999,6.594037135,111.2818551,pomegranate
28,37,28,32.13409675,50.52559148,6.097869767000001,98.63333684,mango
102,25,50,28.20480805,92.91440379,6.099662369,20.36001144,muskmelon
14,19,14,17.68408797,94.35815354,6.699164936,108.0638166,orange
100,10,53,24.54356968,84.60808277,6.211748957,42.00660251,watermelon
98,22,47,29.07265321,91.91533173,6.341400922,28.83568362,muskmelon
98,26,49,27.29035669,90.53330091,6.130160472999999,23.49535234,muskmelon
29,70,15,30.33499674,63.54718862,6.872594461,74.16699119,blackgram
24,27,34,28.87862994,95.11320315,6.203376525,145.0583117,coconut
100,18,52,26.20234499,80.38266489,6.87606733,56.47941847,watermelon
106,14,45,24.47018505,84.16390229,6.417011754,57.26773002,watermelon
12,19,31,27.25373364,52.66319725,5.566704378,91.87312479,mango
2,72,18,26.57597546,60.97876599,7.836719564,50.89110726,lentil
34,61,49,28.12971499,93.3210737,6.502675132,117.8201907,papaya
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,maize
31,72,17,28.69180475,49.47225353,5.833031707999999,96.36222901,pigeonpeas
110,39,25,22.60612115,77.34264002,7.208795456,75.13617229,cotton
97,8,52,24.9103226,86.97190046,6.237861736,49.48575692,watermelon
88,21,27,24.43011925,66.02411187,7.231166546,181.6368274,coffee
108,38,24,23.41022496,76.43836957,7.442217061,78.82199603,cotton
42,74,83,19.2582557,14.2804191,7.545258424,65.78042032,chickpea
18,58,16,21.47607807,38.80023714,4.962661422,180.382234,pigeonpeas
6,13,29,27.31155708,99.96906006,5.832608027999999,201.8258633,coconut
140,45,15,25.5308271,80.04662756,5.801047545,99.39557151,cotton
101,17,55,24.37118217,87.1269128,6.451499763999999,44.63907691,watermelon
107,51,22,24.86560781,78.22080815,5.983075895,79.56866268,cotton
26,122,202,22.44516988,94.73763514,5.617227184,107.1843273,apple
73,43,42,26.58361011,78.00774772,6.310699968,154.8238864,jute
24,80,19,29.67892453,69.0854554,6.8080417220000005,65.66436565,blackgram
81,40,45,25.7629429,80.76238215,6.427726565,174.5071843,jute
106,49,24,23.03887865,76.47039772,6.983395572999999,90.64770699,cotton
10,136,204,21.19852186,92.15595143,6.276198595,105.8554351,apple
120,40,33,24.23850608,54.30329632,6.73410539,115.1564012,coffee
13,7,43,18.20230419,91.12282162,7.013481515,109.66239740000002,pomegranate
28,80,17,19.62207826,18.67170854,5.809419584,144.1567454,kidneybeans
98,7,45,27.79161808,92.51054946,6.157724816,26.85422624,muskmelon
36,68,20,17.06104474,23.77201471,5.86442953,81.83420522,kidneybeans
20,7,45,18.90592319,89.24126808,6.077886012,112.4750941,pomegranate
9,17,32,25.94951662,93.40548703,5.842317989,172.0540491,coconut
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize
0,123,205,22.02775403,92.96129462,5.790993052,121.1349176,apple
118,15,45,24.21495706,84.20576992,6.538006356,48.01138482,watermelon
37,73,21,29.50304807,63.46513414,5.560224582999999,189.5208915,pigeonpeas
5,126,197,12.80000387,81.20876367,6.417500829,67.10439401,grapes
87,48,38,23.81579631,80.94023552,7.161865733,190.312216,jute
84,50,44,25.48591986,81.40633547,5.9353444060000005,182.6549356,rice
2,123,205,22.36629253,90.78572467,5.739652177000001,124.9831618,apple
17,59,17,18.416700100000003,23.42829938,5.689858133,132.9801054,kidneybeans
94,89,48,28.55980972,84.51602322,5.653437902,111.0843029,banana
117,25,54,28.68275966,92.50969311,6.150686363999999,29.11187663,muskmelon
33,139,203,33.34214482,82.51034633,5.693287415,70.68098614,grapes
131,52,16,23.65724079,84.47601498,6.486068274,88.54479121,cotton
11,78,22,23.89756791,22.74378977,5.940546818,112.6616435,kidneybeans
29,36,25,28.28511547,88.4393979,7.130278657000001,48.56690235,mungbean
117,79,49,25.40909896,82.36208097,6.176644228,112.9794804,banana
22,67,22,29.03017561,64.49166566,7.475926645,54.93937710000001,lentil
27,72,17,28.98039357,57.23265151,6.347929353,120.7435664,pigeonpeas
10,56,18,27.99627907,68.6428593,7.32710972,46.10585191,lentil
110,78,50,25.93730186,78.89864446,5.915568968,98.21747528,banana
31,60,24,25.40474421,65.8567539,7.722335992,51.92057267,lentil
2,51,17,25.87682261,45.96341933,5.838508699,38.53254678,mothbeans
9,77,17,21.65845777,63.58337146,6.280725549,38.07659414,lentil
89,52,45,24.89326318,77.01222585,7.207457207999999,196.469984,jute
119,44,15,22.14593688,82.85975490000001,7.091992365,60.65381719,cotton
6,77,20,25.78746268,60.2816298,6.058306161,49.14337177,lentil
49,54,50,25.62446619,93.18240298,6.762522087000001,97.26336657,papaya
36,133,198,25.51939719,83.98351748,6.2286454,69.17281221,grapes
111,29,31,26.05968403,52.31098539,6.136286518,161.3432535,coffee
102,11,47,27.98780984,92.78226196,6.504906978999999,27.14509034,muskmelon
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,maize
99,73,53,26.29039046,81.06003778,5.8717022110000014,118.6730366,banana
8,28,38,23.22594,94.42971362,6.8444019,105.6917856,pomegranate
109,26,45,28.27973674,90.38971208,6.224535448999998,21.58992507,muskmelon
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,maize
2,24,38,24.55981624,91.63536236,5.922935513,111.9684622,pomegranate
85,22,53,25.96534238,89.77076659,6.849471704,59.46338556,watermelon
67,35,22,23.30546753,63.24648023,6.385684213999999,108.7603001,maize
39,70,52,26.26559543,90.79668055,6.65149129,59.49373381,papaya
6,77,25,20.61162204,24.36314135,5.792744849,69.63833855,kidneybeans
29,145,205,22.81227579,92.12992101,6.212302608,109.3383552,apple
21,72,17,31.52104732,66.55723677,7.580527339,61.71111448,blackgram
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,maize
13,74,25,24.12192608,61.09533545,6.461618577,44.23629285,lentil
120,23,28,25.67324193,51.29043632,6.877799264,196.2736367,coffee
56,76,16,28.27265858,61.18956161,7.5131510760000015,63.29900785,blackgram
101,92,45,28.22776705,80.64303840000002,5.758054257,98.00403016,banana
30,28,30,31.86641378,52.19331595,5.064613314,98.46768642,mango
95,39,29,27.35152643,55.99375012,7.13411409,148.98125249999995,coffee
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice
39,42,20,29.3499706,61.25353851,8.055908857999999,40.82840673,mothbeans
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice
8,33,29,29.98080499,49.48613279,6.442393461,91.82271568,mango
30,60,21,28.87667593,62.4901206,5.457871272999999,182.2688175,pigeonpeas
125,39,21,25.03149561,82.21276599,7.954629324,95.0191318,cotton
120,87,52,28.0764455,76.05522115,5.905494703,118.99235729999998,banana
140,40,17,22.72767171,77.07598065,6.006085786,77.55176318,cotton
2,131,199,22.47420512,91.22759742,6.017370134,124.2179699,apple
2,67,18,34.51934775,47.52980027,5.921666758,129.0064612,pigeonpeas
31,29,35,27.1872282,92.19906776,6.137102505,141.3220576,coconut
23,65,20,23.0429097,22.42610972,5.833940084,108.3684316,kidneybeans
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,maize
27,30,5,32.71748548,90.54608254,7.656978112000001,113.328978,orange
31,20,26,25.56567803,97.61361544,6.443168642000001,199.7936345,coconut
39,28,10,31.34920143,91.48247612,7.181907673,109.1549823,orange
33,23,45,20.00218987,85.83618191,7.116538883,112.337046,pomegranate
28,58,25,27.4818649,62.04814951,6.861640036,37.81123974,lentil
111,88,55,29.44795403,78.34971537,5.505393832999999,96.45042585,banana
37,23,12,31.52675982,90.50621806,6.395258356,113.1169398,orange
50,64,25,28.84079155,63.37230676,6.734447425,70.25496749,blackgram
9,49,16,30.88482722,41.36561835,7.661537347999999,55.053805,mothbeans
104,20,26,27.22783677,52.95261751,7.493191968,175.7260273,coffee
19,35,24,27.11030369,83.64274107,6.883308033,49.11964582,mungbean
13,61,22,19.44084326,63.27771461,7.728832424,46.83130119,lentil
32,68,52,32.68067385,92.61715632,6.800321319,248.8592986,papaya
82,77,46,28.9470467,82.1888998,5.901100841,95.83016448,banana
39,24,31,33.55695561,53.72979826,4.757114897,98.67527561,mango
27,63,19,20.93409877,21.1893007,5.562201934,133.1914419,kidneybeans
58,66,79,20.99373558,19.33470387,8.718192847000001,93.55280105,chickpea
24,21,42,20.82210727,87.22815682,6.999014379,109.4429934,pomegranate
84,40,43,25.01157559,88.33130229999998,7.228268227999999,169.4168014,jute
18,27,41,22.36509395,92.30882391,7.175344328,104.8216333,pomegranate
28,69,16,29.77013109,66.29327012,6.547361617999999,35.69674138,lentil
14,5,36,24.92639065,85.19098079,5.832525853,104.7693804,pomegranate
5,15,38,18.26233221,88.16779129,5.709380472,108.0756727,pomegranate
10,141,201,22.12659387,90.97818277,6.386021424,104.5412275,apple
22,72,85,18.86805647,15.65809214,6.391173589,88.51048983,chickpea
76,44,17,20.41683147,62.55424820000001,5.855442401,65.27798457,maize
110,71,54,28.67208915,82.20793613,5.725418961,94.37987496,banana
69,60,54,36.32268069,93.06134398,6.98992719,141.1736926,papaya
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice
25,7,35,28.38503882,99.18843684,5.55771171,189.67113490000003,coconut
74,40,40,25.13842773,83.12053888,6.386259977999999,169.33884650000005,jute
9,16,39,18.41164435,91.11927248,6.101198974,105.1834976,pomegranate
0,69,21,25.86928193,61.88321072,7.072923306,36.68284038,lentil
5,68,20,19.04380471,33.10695144,6.12166671,155.3705624,pigeonpeas
106,46,20,23.43821725,78.63388824,6.2006719760000015,81.15072105,cotton
11,61,21,18.62328774,23.02410338,5.532100554,135.33780330000002,kidneybeans
24,45,19,26.85851927,48.8246387,5.9523849570000005,34.7426459,mothbeans
43,66,79,19.46233971,15.22538951,7.976607593,74.58565097,chickpea
11,44,17,26.34043268,55.59160391,8.016210782,35.1051197,mothbeans
27,145,205,9.467960445,82.29335466,5.800242694,66.02765219,grapes
31,79,75,18.8202251,16.1074793,8.204862075,89.73119396,chickpea
69,67,52,27.71948962,94.43877142,6.827305908,82.83061083,papaya
85,21,52,29.62800691,90.10051615,6.0751441160000015,23.69586761,muskmelon
33,77,15,23.89736406,66.32102048,7.802212437,40.74536757,lentil
17,18,43,24.4880844,90.83687246,5.843005428,103.1969341,pomegranate
32,55,51,29.60718808,93.15642801,6.57398033,62.68710535,papaya
116,5,54,25.37601283,80.99313508,6.65398725,57.23028471,watermelon
83,21,28,25.5674832,60.49244602,7.466900682999999,190.2257843,coffee
93,47,37,21.53346343,82.14004101,6.500343222000001,295.9248796,rice
28,6,40,22.10621387,91.34039616,6.769855664,106.8704803,pomegranate
63,42,21,23.26237612,72.33125523,5.798423907999999,67.10225139,maize
13,47,20,29.21780035,87.93724219,6.54450214,43.1386631,mungbean
70,68,45,33.83508569,92.85470152,6.991626158,203.4044028,papaya
120,19,49,25.79448878,84.26830701,6.762471628999998,56.45229202,watermelon
35,52,19,27.10606808,89.89593328,6.698574085,37.45680611,mungbean
72,42,43,26.56767277,80.90424543,6.352771037,181.2915605,jute
39,16,27,35.53845018,52.94641947,4.934964765,91.54560427,mango
24,38,22,24.47876451,58.51663927,8.202706015,34.96933295,mothbeans
67,45,38,22.72791041,82.17068809999998,7.300410836,260.8875056,rice
37,38,32,31.85744939,45.53106268,5.417340525,91.55845821,mango
34,54,24,31.2119298,41.55934359,5.026003659,68.80141783,mothbeans
37,18,12,10.2708877,90.19147747,7.401121811,106.69552040000002,orange
8,120,196,24.06679352,82.66396666,6.053662544,69.81855775,grapes
39,57,19,29.32379604,45.93248374,6.421748487,165.4113371,pigeonpeas
38,141,198,13.05809741,80.28297993,5.757009965,70.75633584,grapes
21,134,202,10.72302459,80.02130636,6.425419926,65.29821120000001,grapes
52,58,16,30.64095781,61.14508627,7.167435834,71.36947525,blackgram
13,73,20,30.50420876,35.48885969,5.391560417999999,162.59277230000004,pigeonpeas
48,61,21,30.28496619,61.69295127,6.628264883,65.62859526,blackgram
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice
106,85,53,27.1994597,78.80860679999998,5.91505509,99.72430835,banana
20,19,35,34.17719782,50.62161586,6.113935087000001,98.00687989,mango
55,77,22,31.4345059,62.99303471,7.76061831,64.77651469,blackgram
9,56,17,26.13708256,66.7729209,6.261937875,46.48280681,lentil
95,12,51,25.76484262,84.17269959999999,6.681606702000001,44.22066914,watermelon
42,79,85,17.22385224,15.82069268,6.129533877,76.57580954,chickpea
31,75,18,15.46789263,21.43780702,5.824208308999999,88.88796102,kidneybeans
101,11,51,25.50736962,84.24340241,6.792035575,44.2068997,watermelon
22,60,18,19.59221047,61.28633405,6.74398035,41.7704893,lentil
27,61,18,33.30711818,67.07780816,5.266227032,108.5090168,pigeonpeas
40,45,18,30.43683729,55.20522037,5.261285926,30.92014047,mothbeans
80,15,28,23.11438731,68.00096043,6.703270635,161.8944624,coffee
48,62,15,25.36586097,66.6379724,7.538631462000001,65.81655892,blackgram
29,144,204,22.43324518,92.48667725,5.800448951,119.1025189,apple
87,21,52,27.350629600000005,94.29119509999998,6.067665497999999,27.21244021,muskmelon
16,56,17,33.80020039,40.03262418,7.445444882999999,176.6165894,pigeonpeas
23,62,19,16.51783455,20.4555596,5.609435127999999,98.77794225,kidneybeans
23,37,24,28.77833449,44.2252605,7.991902443,33.95825723,mothbeans
35,135,199,21.77466746,80.54942557,6.400719746,69.39630398,grapes
3,18,31,31.65333432,48.20662669,6.392313972999999,91.09745581,mango
95,21,47,27.93114233,93.56161439,6.431970877,20.66127836,muskmelon
25,40,21,27.73329078,81.13903037,6.248900919,44.17580911,mungbean
59,58,17,28.546224,66.31394098,7.368318809,62.83469851,blackgram
57,57,51,39.01793345,91.48815629,6.99223441,105.8841531,papaya
75,56,44,25.2746335,73.7459581,6.109478059,168.0432282,jute
59,62,83,18.57665902,19.22008229,8.104396057999999,72.94940441,chickpea
39,78,15,21.35499456,62.60136323,5.925391795,41.78219834,lentil
89,25,54,24.69368934,85.56967628,6.353107392999999,48.99390828,watermelon
25,78,76,17.48042641,15.7559405,7.228963452,66.96980581,chickpea
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice
